"","numero","municipalite","montant","habitants","montantparhabitant","Date"
"1","518","'s-Gravenhage","44","537833","8.2","21 maart 2020"
"2","796","'s-Hertogenbosch","45","154205","29.2","21 maart 2020"
"3","1680","Aa en Hunze","0","25386","0","21 maart 2020"
"4","358","Aalsmeer","5","31728","15.8","21 maart 2020"
"5","197","Aalten","1","27011","3.7","21 maart 2020"
"6","59","Achtkarspelen","0","27852","0","21 maart 2020"
"7","482","Alblasserdam","3","20069","14.9","21 maart 2020"
"8","613","Albrandswaard","8","25271","31.7","21 maart 2020"
"9","361","Alkmaar","11","108558","10.1","21 maart 2020"
"10","141","Almelo","4","72849","5.5","21 maart 2020"
"11","34","Almere","11","207904","5.3","21 maart 2020"
"12","484","Alphen aan den Rijn","15","110986","13.5","21 maart 2020"
"13","1723","Alphen-Chaam","7","10149","69","21 maart 2020"
"14","1959","Altena","22","55386","39.7","21 maart 2020"
"15","60","Ameland","0","3673","0","21 maart 2020"
"16","307","Amersfoort","37","156286","23.7","21 maart 2020"
"17","362","Amstelveen","26","90838","28.6","21 maart 2020"
"18","363","Amsterdam","161","862965","18.7","21 maart 2020"
"19","200","Apeldoorn","16","162445","9.8","21 maart 2020"
"20","3","Appingedam","0","11721","0","21 maart 2020"
"21","202","Arnhem","15","159265","9.4","21 maart 2020"
"22","106","Assen","1","67963","1.5","21 maart 2020"
"23","743","Asten","5","16710","29.9","21 maart 2020"
"24","744","Baarle-Nassau","1","6847","14.6","21 maart 2020"
"25","308","Baarn","1","24767","4","21 maart 2020"
"26","489","Barendrecht","9","48673","18.5","21 maart 2020"
"27","203","Barneveld","8","57971","13.8","21 maart 2020"
"28","888","Beek","5","15929","31.4","21 maart 2020"
"29","1954","Beekdaelen","19","35727","53.2","21 maart 2020"
"30","370","Beemster","0","9748","0","21 maart 2020"
"31","889","Beesel","3","13519","22.2","21 maart 2020"
"32","1945","Berg en Dal","25","34798","71.8","21 maart 2020"
"33","1724","Bergeijk","1","18491","5.4","21 maart 2020"
"34","893","Bergen (L)","1","13140","7.6","21 maart 2020"
"35","373","Bergen (NH)","6","29974","20","21 maart 2020"
"36","748","Bergen op Zoom","9","66811","13.5","21 maart 2020"
"37","1859","Berkelland","1","43904","2.3","21 maart 2020"
"38","1721","Bernheze","41","30806","133.1","21 maart 2020"
"39","753","Best","11","29821","36.9","21 maart 2020"
"40","209","Beuningen","9","25882","34.8","21 maart 2020"
"41","375","Beverwijk","6","41176","14.6","21 maart 2020"
"42","1728","Bladel","7","20175","34.7","21 maart 2020"
"43","376","Blaricum","4","11202","35.7","21 maart 2020"
"44","377","Bloemendaal","8","23410","34.2","21 maart 2020"
"45","1901","Bodegraven-Reeuwijk","3","34462","8.7","21 maart 2020"
"46","755","Boekel","32","10588","302.2","21 maart 2020"
"47","1681","Borger-Odoorn","0","25372","0","21 maart 2020"
"48","147","Borne","4","23210","17.2","21 maart 2020"
"49","654","Borsele","3","22800","13.2","21 maart 2020"
"50","756","Boxmeer","6","29065","20.6","21 maart 2020"
"51","757","Boxtel","11","30747","35.8","21 maart 2020"
"52","758","Breda","133","183873","72.3","21 maart 2020"
"53","501","Brielle","1","17182","5.8","21 maart 2020"
"54","1876","Bronckhorst","6","36212","16.6","21 maart 2020"
"55","213","Brummen","1","20698","4.8","21 maart 2020"
"56","899","Brunssum","6","28103","21.4","21 maart 2020"
"57","312","Bunnik","3","15192","19.7","21 maart 2020"
"58","313","Bunschoten","0","21576","0","21 maart 2020"
"59","214","Buren","5","26568","18.8","21 maart 2020"
"60","502","Capelle aan den IJssel","3","66818","4.5","21 maart 2020"
"61","383","Castricum","7","35772","19.6","21 maart 2020"
"62","109","Coevorden","14","35483","39.5","21 maart 2020"
"63","1706","Cranendonck","11","20440","53.8","21 maart 2020"
"64","1684","Cuijk","4","24931","16","21 maart 2020"
"65","216","Culemborg","5","28555","17.5","21 maart 2020"
"66","148","Dalfsen","5","28499","17.5","21 maart 2020"
"67","1891","Dantumadiel","0","18923","0","21 maart 2020"
"68","310","De Bilt","19","42824","44.4","21 maart 2020"
"69","1940","De Fryske Marren","8","51430","15.6","21 maart 2020"
"70","736","De Ronde Venen","3","44059","6.8","21 maart 2020"
"71","1690","De Wolden","3","24110","12.4","21 maart 2020"
"72","503","Delft","11","103163","10.7","21 maart 2020"
"73","10","Delfzijl","0","24716","0","21 maart 2020"
"74","400","Den Helder","3","55604","5.4","21 maart 2020"
"75","762","Deurne","19","32362","58.7","21 maart 2020"
"76","150","Deventer","16","99957","16","21 maart 2020"
"77","384","Diemen","3","29196","10.3","21 maart 2020"
"78","1774","Dinkelland","13","26350","49.3","21 maart 2020"
"79","221","Doesburg","3","11148","26.9","21 maart 2020"
"80","222","Doetinchem","5","57555","8.7","21 maart 2020"
"81","766","Dongen","2","26051","7.7","21 maart 2020"
"82","505","Dordrecht","12","118654","10.1","21 maart 2020"
"83","498","Drechterland","2","19597","10.2","21 maart 2020"
"84","1719","Drimmelen","14","27150","51.6","21 maart 2020"
"85","303","Dronten","11","40815","27","21 maart 2020"
"86","225","Druten","5","18797","26.6","21 maart 2020"
"87","226","Duiven","2","25332","7.9","21 maart 2020"
"88","1711","Echt-Susteren","11","31638","34.8","21 maart 2020"
"89","385","Edam-Volendam","4","36099","11.1","21 maart 2020"
"90","228","Ede","13","115710","11.2","21 maart 2020"
"91","317","Eemnes","1","9113","11","21 maart 2020"
"92","770","Eersel","7","19110","36.6","21 maart 2020"
"93","1903","Eijsden-Margraten","6","25658","23.4","21 maart 2020"
"94","772","Eindhoven","35","231642","15.1","21 maart 2020"
"95","230","Elburg","2","23086","8.7","21 maart 2020"
"96","114","Emmen","4","107113","3.7","21 maart 2020"
"97","388","Enkhuizen","6","18507","32.4","21 maart 2020"
"98","153","Enschede","16","158986","10.1","21 maart 2020"
"99","232","Epe","6","33145","18.1","21 maart 2020"
"100","233","Ermelo","11","26858","41","21 maart 2020"
"101","777","Etten-Leur","18","43774","41.1","21 maart 2020"
"102","779","Geertruidenberg","7","21515","32.5","21 maart 2020"
"103","1771","Geldrop-Mierlo","6","39595","15.2","21 maart 2020"
"104","1652","Gemert-Bakel","42","30447","137.9","21 maart 2020"
"105","907","Gennep","5","17071","29.3","21 maart 2020"
"106","784","Gilze en Rijen","7","26431","26.5","21 maart 2020"
"107","1924","Goeree-Overflakkee","16","49611","32.3","21 maart 2020"
"108","664","Goes","3","37653","8","21 maart 2020"
"109","785","Goirle","12","23793","50.4","21 maart 2020"
"110","1942","Gooise Meren","11","57715","19.1","21 maart 2020"
"111","512","Gorinchem","0","36682","0","21 maart 2020"
"112","513","Gouda","12","73181","16.4","21 maart 2020"
"113","786","Grave","6","12483","48.1","21 maart 2020"
"114","14","Groningen","39","231299","16.9","21 maart 2020"
"115","1729","Gulpen-Wittem","2","14246","14","21 maart 2020"
"116","158","Haaksbergen","1","24277","4.1","21 maart 2020"
"117","788","Haaren","10","14195","70.4","21 maart 2020"
"118","392","Haarlem","25","161265","15.5","21 maart 2020"
"119","394","Haarlemmermeer","12","154235","7.8","21 maart 2020"
"120","1655","Halderberge","5","30194","16.6","21 maart 2020"
"121","160","Hardenberg","3","60574","5","21 maart 2020"
"122","243","Harderwijk","5","47581","10.5","21 maart 2020"
"123","523","Hardinxveld-Giessendam","6","18051","33.2","21 maart 2020"
"124","72","Harlingen","3","15758","19","21 maart 2020"
"125","244","Hattem","1","12173","8.2","21 maart 2020"
"126","396","Heemskerk","5","39164","12.8","21 maart 2020"
"127","397","Heemstede","11","27286","40.3","21 maart 2020"
"128","246","Heerde","9","18546","48.5","21 maart 2020"
"129","74","Heerenveen","2","50257","4","21 maart 2020"
"130","398","Heerhugowaard","5","56742","8.8","21 maart 2020"
"131","917","Heerlen","19","86832","21.9","21 maart 2020"
"132","1658","Heeze-Leende","4","15964","25.1","21 maart 2020"
"133","399","Heiloo","4","23464","17","21 maart 2020"
"134","163","Hellendoorn","3","35808","8.4","21 maart 2020"
"135","530","Hellevoetsluis","4","40049","10","21 maart 2020"
"136","794","Helmond","32","91524","35","21 maart 2020"
"137","531","Hendrik-Ido-Ambacht","0","30966","0","21 maart 2020"
"138","164","Hengelo (O)","13","80683","16.1","21 maart 2020"
"139","1966","Het Hogeland","0","47888","0","21 maart 2020"
"140","252","Heumen","7","16486","42.5","21 maart 2020"
"141","797","Heusden","11","44135","24.9","21 maart 2020"
"142","534","Hillegom","2","21966","9.1","21 maart 2020"
"143","798","Hilvarenbeek","5","15334","32.6","21 maart 2020"
"144","402","Hilversum","7","90238","7.8","21 maart 2020"
"145","1963","Hoeksche Waard","17","86656","19.6","21 maart 2020"
"146","1735","Hof van Twente","4","34940","11.4","21 maart 2020"
"147","1911","Hollands Kroon","6","47815","12.5","21 maart 2020"
"148","118","Hoogeveen","5","55662","9","21 maart 2020"
"149","405","Hoorn","8","73004","11","21 maart 2020"
"150","1507","Horst aan de Maas","13","42291","30.7","21 maart 2020"
"151","321","Houten","19","49911","38.1","21 maart 2020"
"152","406","Huizen","3","41273","7.3","21 maart 2020"
"153","677","Hulst","0","27524","0","21 maart 2020"
"154","353","IJsselstein","11","34160","32.2","21 maart 2020"
"155","1884","Kaag en Braassem","1","26866","3.7","21 maart 2020"
"156","166","Kampen","12","53779","22.3","21 maart 2020"
"157","678","Kapelle","2","12785","15.6","21 maart 2020"
"158","537","Katwijk","5","65302","7.7","21 maart 2020"
"159","928","Kerkrade","6","45642","13.1","21 maart 2020"
"160","1598","Koggenland","1","22738","4.4","21 maart 2020"
"161","542","Krimpen aan den IJssel","2","29376","6.8","21 maart 2020"
"162","1931","Krimpenerwaard","9","56048","16.1","21 maart 2020"
"163","1659","Laarbeek","8","22333","35.8","21 maart 2020"
"164","1685","Landerd","20","15529","128.8","21 maart 2020"
"165","882","Landgraaf","9","37591","23.9","21 maart 2020"
"166","415","Landsmeer","4","11488","34.8","21 maart 2020"
"167","416","Langedijk","4","27992","14.3","21 maart 2020"
"168","1621","Lansingerland","16","61601","26","21 maart 2020"
"169","417","Laren","0","11195","0","21 maart 2020"
"170","80","Leeuwarden","8","123107","6.5","21 maart 2020"
"171","546","Leiden","16","124899","12.8","21 maart 2020"
"172","547","Leiderdorp","2","27109","7.4","21 maart 2020"
"173","1916","Leidschendam-Voorburg","9","75425","11.9","21 maart 2020"
"174","995","Lelystad","15","77893","19.3","21 maart 2020"
