"","NUTS_ID","montant","Date"
"1","DE1",3807,2020-03-22
"2","DE2",3650,2020-03-22
"3","DE3",1024,2020-03-22
"4","DE4",274,2020-03-22
"5","DE5",165,2020-03-22
"6","DE6",872,2020-03-22
"7","DE7",1175,2020-03-22
"8","DE8",172,2020-03-22
"9","DE9",1306,2020-03-22
"10","DEA",3545,2020-03-22
"11","DEB",1053,2020-03-22
"12","DEC",187,2020-03-22
"13","DED",606,2020-03-22
"14","DEE",211,2020-03-22
"15","DEF",347,2020-03-22
"16","DEG",216,2020-03-22
