"","numero","municipalite","montant","habitants","montantparhabitant","Date"
"108","664","Goes","3","37653","8","18 maart 2020"
"109","785","Goirle","9","23793","37.8","18 maart 2020"
"110","1942","Gooise Meren","9","57715","15.6","18 maart 2020"
"111","512","Gorinchem","0","36682","0","18 maart 2020"
"112","513","Gouda","7","73181","9.6","18 maart 2020"
"113","786","Grave","1","12483","8","18 maart 2020"
"114","14","Groningen","11","231299","4.8","18 maart 2020"
"115","1729","Gulpen-Wittem","2","14246","14","18 maart 2020"
"116","158","Haaksbergen","1","24277","4.1","18 maart 2020"
"117","788","Haaren","9","14195","63.4","18 maart 2020"
"118","392","Haarlem","7","161265","4.3","18 maart 2020"
"119","394","Haarlemmermeer","4","154235","2.6","18 maart 2020"
"120","1655","Halderberge","2","30194","6.6","18 maart 2020"
"121","160","Hardenberg","0","60574","0","18 maart 2020"
"122","243","Harderwijk","5","47581","10.5","18 maart 2020"
"123","523","Hardinxveld-Giessendam","5","18051","27.7","18 maart 2020"
"124","72","Harlingen","1","15758","6.3","18 maart 2020"
"125","244","Hattem","0","12173","0","18 maart 2020"
"126","396","Heemskerk","2","39164","5.1","18 maart 2020"
"127","397","Heemstede","5","27286","18.3","18 maart 2020"
"128","246","Heerde","3","18546","16.2","18 maart 2020"
"129","74","Heerenveen","0","50257","0","18 maart 2020"
"130","398","Heerhugowaard","2","56742","3.5","18 maart 2020"
"131","917","Heerlen","14","86832","16.1","18 maart 2020"
"132","1658","Heeze-Leende","4","15964","25.1","18 maart 2020"
"133","399","Heiloo","3","23464","12.8","18 maart 2020"
"134","163","Hellendoorn","2","35808","5.6","18 maart 2020"
"135","530","Hellevoetsluis","1","40049","2.5","18 maart 2020"
"136","794","Helmond","20","91524","21.9","18 maart 2020"
"137","531","Hendrik-Ido-Ambacht","0","30966","0","18 maart 2020"
"138","164","Hengelo (O)","4","80683","5","18 maart 2020"
"139","1966","Het Hogeland","0","47888","0","18 maart 2020"
"140","252","Heumen","5","16486","30.3","18 maart 2020"
"141","797","Heusden","5","44135","11.3","18 maart 2020"
"142","534","Hillegom","1","21966","4.6","18 maart 2020"
"143","798","Hilvarenbeek","4","15334","26.1","18 maart 2020"
"144","402","Hilversum","3","90238","3.3","18 maart 2020"
"145","1963","Hoeksche Waard","8","86656","9.2","18 maart 2020"
"146","1735","Hof van Twente","3","34940","8.6","18 maart 2020"
"147","1911","Hollands Kroon","1","47815","2.1","18 maart 2020"
"148","118","Hoogeveen","3","55662","5.4","18 maart 2020"
"149","405","Hoorn","1","73004","1.4","18 maart 2020"
"150","1507","Horst aan de Maas","8","42291","18.9","18 maart 2020"
"151","321","Houten","14","49911","28","18 maart 2020"
"152","406","Huizen","2","41273","4.8","18 maart 2020"
"153","677","Hulst","0","27524","0","18 maart 2020"
"154","353","IJsselstein","7","34160","20.5","18 maart 2020"
"155","1884","Kaag en Braassem","0","26866","0","18 maart 2020"
"156","166","Kampen","2","53779","3.7","18 maart 2020"
"157","678","Kapelle","2","12785","15.6","18 maart 2020"
"158","537","Katwijk","2","65302","3.1","18 maart 2020"
"159","928","Kerkrade","3","45642","6.6","18 maart 2020"
"160","1598","Koggenland","1","22738","4.4","18 maart 2020"
"161","542","Krimpen aan den IJssel","1","29376","3.4","18 maart 2020"
"162","1931","Krimpenerwaard","4","56048","7.1","18 maart 2020"
"163","1659","Laarbeek","2","22333","9","18 maart 2020"
"164","1685","Landerd","16","15529","103","18 maart 2020"
"165","882","Landgraaf","7","37591","18.6","18 maart 2020"
"166","415","Landsmeer","3","11488","26.1","18 maart 2020"
"167","416","Langedijk","4","27992","14.3","18 maart 2020"
"168","1621","Lansingerland","10","61601","16.2","18 maart 2020"
"169","417","Laren","0","11195","0","18 maart 2020"
"170","80","Leeuwarden","4","123107","3.2","18 maart 2020"
"171","546","Leiden","11","124899","8.8","18 maart 2020"
"172","547","Leiderdorp","2","27109","7.4","18 maart 2020"
"173","1916","Leidschendam-Voorburg","6","75425","8","18 maart 2020"
"174","995","Lelystad","12","77893","15.4","18 maart 2020"
"175","1640","Leudal","11","35681","30.8","18 maart 2020"
"176","327","Leusden","3","30030","10","18 maart 2020"
"177","1705","Lingewaard","4","46475","8.6","18 maart 2020"
"178","553","Lisse","0","22800","0","18 maart 2020"
"179","262","Lochem","1","33590","3","18 maart 2020"
"180","809","Loon op Zand","9","23327","38.6","18 maart 2020"
"181","331","Lopik","3","14473","20.7","18 maart 2020"
"182","24","Loppersum","0","9614","0","18 maart 2020"
"183","168","Losser","0","22622","0","18 maart 2020"
"184","263","Maasdriel","1","24693","4","18 maart 2020"
"185","1641","Maasgouw","4","23716","16.9","18 maart 2020"
"186","556","Maassluis","2","32768","6.1","18 maart 2020"
"187","935","Maastricht","41","121565","33.7","18 maart 2020"
"188","420","Medemblik","0","44809","0","18 maart 2020"
"189","938","Meerssen","2","18923","10.6","18 maart 2020"
