"","numero","municipalite","montant","habitants","montantparhabitant","Date"
"1","518","'s-Gravenhage","53","537833","9.9","23 maart 2020"
"2","796","'s-Hertogenbosch","60","154205","38.9","23 maart 2020"
"3","1680","Aa en Hunze","1","25386","3.9","23 maart 2020"
"4","358","Aalsmeer","8","31728","25.2","23 maart 2020"
"5","197","Aalten","1","27011","3.7","23 maart 2020"
"6","59","Achtkarspelen","0","27852","0","23 maart 2020"
"7","482","Alblasserdam","4","20069","19.9","23 maart 2020"
"8","613","Albrandswaard","14","25271","55.4","23 maart 2020"
"9","361","Alkmaar","16","108558","14.7","23 maart 2020"
"10","141","Almelo","7","72849","9.6","23 maart 2020"
"11","34","Almere","18","207904","8.7","23 maart 2020"
"12","484","Alphen aan den Rijn","17","110986","15.3","23 maart 2020"
"13","1723","Alphen-Chaam","14","10149","137.9","23 maart 2020"
"14","1959","Altena","25","55386","45.1","23 maart 2020"
"15","60","Ameland","0","3673","0","23 maart 2020"
"16","307","Amersfoort","41","156286","26.2","23 maart 2020"
"17","362","Amstelveen","29","90838","31.9","23 maart 2020"
"18","363","Amsterdam","203","862965","23.5","23 maart 2020"
"19","200","Apeldoorn","26","162445","16","23 maart 2020"
"20","3","Appingedam","0","11721","0","23 maart 2020"
"21","202","Arnhem","20","159265","12.6","23 maart 2020"
"22","106","Assen","4","67963","5.9","23 maart 2020"
"23","743","Asten","5","16710","29.9","23 maart 2020"
"24","744","Baarle-Nassau","1","6847","14.6","23 maart 2020"
"25","308","Baarn","2","24767","8.1","23 maart 2020"
"26","489","Barendrecht","13","48673","26.7","23 maart 2020"
"27","203","Barneveld","10","57971","17.3","23 maart 2020"
"28","888","Beek","5","15929","31.4","23 maart 2020"
"29","1954","Beekdaelen","20","35727","56","23 maart 2020"
"30","370","Beemster","0","9748","0","23 maart 2020"
"31","889","Beesel","5","13519","37","23 maart 2020"
"32","1945","Berg en Dal","33","34798","94.8","23 maart 2020"
"33","1724","Bergeijk","3","18491","16.2","23 maart 2020"
"34","893","Bergen (L)","1","13140","7.6","23 maart 2020"
"35","373","Bergen (NH)","9","29974","30","23 maart 2020"
"36","748","Bergen op Zoom","12","66811","18","23 maart 2020"
"37","1859","Berkelland","2","43904","4.6","23 maart 2020"
"38","1721","Bernheze","62","30806","201.3","23 maart 2020"
"39","753","Best","14","29821","46.9","23 maart 2020"
"40","209","Beuningen","12","25882","46.4","23 maart 2020"
"41","375","Beverwijk","7","41176","17","23 maart 2020"
"42","1728","Bladel","12","20175","59.5","23 maart 2020"
"43","376","Blaricum","4","11202","35.7","23 maart 2020"
"44","377","Bloemendaal","11","23410","47","23 maart 2020"
"45","1901","Bodegraven-Reeuwijk","5","34462","14.5","23 maart 2020"
"46","755","Boekel","40","10588","377.8","23 maart 2020"
"47","1681","Borger-Odoorn","0","25372","0","23 maart 2020"
"48","147","Borne","7","23210","30.2","23 maart 2020"
"49","654","Borsele","3","22800","13.2","23 maart 2020"
"50","756","Boxmeer","7","29065","24.1","23 maart 2020"
"51","757","Boxtel","12","30747","39","23 maart 2020"
"52","758","Breda","161","183873","87.6","23 maart 2020"
"53","501","Brielle","1","17182","5.8","23 maart 2020"
"54","1876","Bronckhorst","6","36212","16.6","23 maart 2020"
"55","213","Brummen","4","20698","19.3","23 maart 2020"
"56","899","Brunssum","8","28103","28.5","23 maart 2020"
"57","312","Bunnik","4","15192","26.3","23 maart 2020"
"58","313","Bunschoten","0","21576","0","23 maart 2020"
"59","214","Buren","5","26568","18.8","23 maart 2020"
"60","502","Capelle aan den IJssel","7","66818","10.5","23 maart 2020"
"61","383","Castricum","8","35772","22.4","23 maart 2020"
"62","109","Coevorden","14","35483","39.5","23 maart 2020"
"63","1706","Cranendonck","19","20440","93","23 maart 2020"
"64","1684","Cuijk","5","24931","20.1","23 maart 2020"
"65","216","Culemborg","5","28555","17.5","23 maart 2020"
"66","148","Dalfsen","9","28499","31.6","23 maart 2020"
"67","1891","Dantumadiel","0","18923","0","23 maart 2020"
"68","310","De Bilt","23","42824","53.7","23 maart 2020"
"69","1940","De Fryske Marren","8","51430","15.6","23 maart 2020"
"70","736","De Ronde Venen","6","44059","13.6","23 maart 2020"
"71","1690","De Wolden","3","24110","12.4","23 maart 2020"
"72","503","Delft","16","103163","15.5","23 maart 2020"
"73","10","Delfzijl","1","24716","4","23 maart 2020"
"74","400","Den Helder","4","55604","7.2","23 maart 2020"
"75","762","Deurne","22","32362","68","23 maart 2020"
"76","150","Deventer","17","99957","17","23 maart 2020"
"77","384","Diemen","4","29196","13.7","23 maart 2020"
"78","1774","Dinkelland","15","26350","56.9","23 maart 2020"
"79","221","Doesburg","4","11148","35.9","23 maart 2020"
"80","222","Doetinchem","6","57555","10.4","23 maart 2020"
"81","766","Dongen","2","26051","7.7","23 maart 2020"
"82","505","Dordrecht","17","118654","14.3","23 maart 2020"
"83","498","Drechterland","2","19597","10.2","23 maart 2020"
"84","1719","Drimmelen","16","27150","58.9","23 maart 2020"
"85","303","Dronten","11","40815","27","23 maart 2020"
"86","225","Druten","6","18797","31.9","23 maart 2020"
"87","226","Duiven","2","25332","7.9","23 maart 2020"
"88","1711","Echt-Susteren","14","31638","44.3","23 maart 2020"
"89","385","Edam-Volendam","6","36099","16.6","23 maart 2020"
"90","228","Ede","21","115710","18.1","23 maart 2020"
"91","317","Eemnes","1","9113","11","23 maart 2020"
"92","770","Eersel","10","19110","52.3","23 maart 2020"
"93","1903","Eijsden-Margraten","7","25658","27.3","23 maart 2020"
"94","772","Eindhoven","55","231642","23.7","23 maart 2020"
"95","230","Elburg","4","23086","17.3","23 maart 2020"
"96","114","Emmen","6","107113","5.6","23 maart 2020"
"97","388","Enkhuizen","8","18507","43.2","23 maart 2020"
"98","153","Enschede","20","158986","12.6","23 maart 2020"
"99","232","Epe","10","33145","30.2","23 maart 2020"
"100","233","Ermelo","13","26858","48.4","23 maart 2020"
"101","777","Etten-Leur","24","43774","54.8","23 maart 2020"
"102","779","Geertruidenberg","10","21515","46.5","23 maart 2020"
"103","1771","Geldrop-Mierlo","8","39595","20.2","23 maart 2020"
"104","1652","Gemert-Bakel","56","30447","183.9","23 maart 2020"
"105","907","Gennep","7","17071","41","23 maart 2020"
"106","784","Gilze en Rijen","13","26431","49.2","23 maart 2020"
"107","1924","Goeree-Overflakkee","36","49611","72.6","23 maart 2020"
"108","664","Goes","3","37653","8","23 maart 2020"
"109","785","Goirle","13","23793","54.6","23 maart 2020"
"110","1942","Gooise Meren","11","57715","19.1","23 maart 2020"
"111","512","Gorinchem","2","36682","5.5","23 maart 2020"
"112","513","Gouda","16","73181","21.9","23 maart 2020"
"113","786","Grave","11","12483","88.1","23 maart 2020"
"114","14","Groningen","53","231299","22.9","23 maart 2020"
"115","1729","Gulpen-Wittem","2","14246","14","23 maart 2020"
"116","158","Haaksbergen","3","24277","12.4","23 maart 2020"
"117","788","Haaren","12","14195","84.5","23 maart 2020"
"118","392","Haarlem","29","161265","18","23 maart 2020"
"119","394","Haarlemmermeer","18","154235","11.7","23 maart 2020"
"120","1655","Halderberge","7","30194","23.2","23 maart 2020"
"121","160","Hardenberg","4","60574","6.6","23 maart 2020"
"122","243","Harderwijk","8","47581","16.8","23 maart 2020"
"123","523","Hardinxveld-Giessendam","6","18051","33.2","23 maart 2020"
"124","72","Harlingen","3","15758","19","23 maart 2020"
"125","244","Hattem","1","12173","8.2","23 maart 2020"
"126","396","Heemskerk","5","39164","12.8","23 maart 2020"
"127","397","Heemstede","13","27286","47.6","23 maart 2020"
"128","246","Heerde","13","18546","70.1","23 maart 2020"
"129","74","Heerenveen","3","50257","6","23 maart 2020"
"130","398","Heerhugowaard","10","56742","17.6","23 maart 2020"
"131","917","Heerlen","29","86832","33.4","23 maart 2020"
"132","1658","Heeze-Leende","7","15964","43.8","23 maart 2020"
"133","399","Heiloo","6","23464","25.6","23 maart 2020"
"134","163","Hellendoorn","5","35808","14","23 maart 2020"
"135","530","Hellevoetsluis","5","40049","12.5","23 maart 2020"
"136","794","Helmond","49","91524","53.5","23 maart 2020"
"137","531","Hendrik-Ido-Ambacht","2","30966","6.5","23 maart 2020"
"138","164","Hengelo (O)","15","80683","18.6","23 maart 2020"
