"","numero","municipalite","montant","habitants","montantparhabitant","Date"
"1","518","'s-Gravenhage","103","537833","19.2","26 maart 2020"
"2","796","'s-Hertogenbosch","87","154205","56.4","26 maart 2020"
"3","1680","Aa en Hunze","3","25386","11.8","26 maart 2020"
"4","358","Aalsmeer","11","31728","34.7","26 maart 2020"
"5","197","Aalten","2","27011","7.4","26 maart 2020"
"6","59","Achtkarspelen","1","27852","3.6","26 maart 2020"
"7","482","Alblasserdam","6","20069","29.9","26 maart 2020"
"8","613","Albrandswaard","19","25271","75.2","26 maart 2020"
"9","361","Alkmaar","29","108558","26.7","26 maart 2020"
"10","141","Almelo","12","72849","16.5","26 maart 2020"
"11","34","Almere","32","207904","15.4","26 maart 2020"
"12","484","Alphen aan den Rijn","30","110986","27","26 maart 2020"
"13","1723","Alphen-Chaam","19","10149","187.2","26 maart 2020"
"14","1959","Altena","35","55386","63.2","26 maart 2020"
"15","60","Ameland","0","3673","0","26 maart 2020"
"16","307","Amersfoort","54","156286","34.6","26 maart 2020"
"17","362","Amstelveen","46","90838","50.6","26 maart 2020"
"18","363","Amsterdam","351","862965","40.7","26 maart 2020"
"19","200","Apeldoorn","39","162445","24","26 maart 2020"
"20","3","Appingedam","0","11721","0","26 maart 2020"
"21","202","Arnhem","34","159265","21.3","26 maart 2020"
"22","106","Assen","7","67963","10.3","26 maart 2020"
"23","743","Asten","6","16710","35.9","26 maart 2020"
"24","744","Baarle-Nassau","2","6847","29.2","26 maart 2020"
"25","308","Baarn","5","24767","20.2","26 maart 2020"
"26","489","Barendrecht","19","48673","39","26 maart 2020"
"27","203","Barneveld","13","57971","22.4","26 maart 2020"
"28","888","Beek","13","15929","81.6","26 maart 2020"
"29","1954","Beekdaelen","32","35727","89.6","26 maart 2020"
"30","370","Beemster","2","9748","20.5","26 maart 2020"
"31","889","Beesel","8","13519","59.2","26 maart 2020"
"32","1945","Berg en Dal","43","34798","123.6","26 maart 2020"
"33","1724","Bergeijk","11","18491","59.5","26 maart 2020"
"34","893","Bergen (L)","1","13140","7.6","26 maart 2020"
"35","373","Bergen (NH)","14","29974","46.7","26 maart 2020"
"36","748","Bergen op Zoom","13","66811","19.5","26 maart 2020"
"37","1859","Berkelland","2","43904","4.6","26 maart 2020"
"38","1721","Bernheze","83","30806","269.4","26 maart 2020"
"39","753","Best","21","29821","70.4","26 maart 2020"
"40","209","Beuningen","15","25882","58","26 maart 2020"
"41","375","Beverwijk","12","41176","29.1","26 maart 2020"
"42","1728","Bladel","15","20175","74.3","26 maart 2020"
"43","376","Blaricum","6","11202","53.6","26 maart 2020"
"44","377","Bloemendaal","16","23410","68.3","26 maart 2020"
"45","1901","Bodegraven-Reeuwijk","8","34462","23.2","26 maart 2020"
"46","755","Boekel","42","10588","396.7","26 maart 2020"
"47","1681","Borger-Odoorn","0","25372","0","26 maart 2020"
"48","147","Borne","12","23210","51.7","26 maart 2020"
"49","654","Borsele","6","22800","26.3","26 maart 2020"
"50","756","Boxmeer","10","29065","34.4","26 maart 2020"
"51","757","Boxtel","19","30747","61.8","26 maart 2020"
"52","758","Breda","201","183873","109.3","26 maart 2020"
"53","501","Brielle","2","17182","11.6","26 maart 2020"
"54","1876","Bronckhorst","8","36212","22.1","26 maart 2020"
"55","213","Brummen","4","20698","19.3","26 maart 2020"
"56","899","Brunssum","22","28103","78.3","26 maart 2020"
"57","312","Bunnik","9","15192","59.2","26 maart 2020"
"58","313","Bunschoten","3","21576","13.9","26 maart 2020"
"59","214","Buren","7","26568","26.3","26 maart 2020"
"60","502","Capelle aan den IJssel","26","66818","38.9","26 maart 2020"
"61","383","Castricum","13","35772","36.3","26 maart 2020"
"62","109","Coevorden","17","35483","47.9","26 maart 2020"
"63","1706","Cranendonck","31","20440","151.7","26 maart 2020"
"64","1684","Cuijk","8","24931","32.1","26 maart 2020"
"65","216","Culemborg","14","28555","49","26 maart 2020"
"66","148","Dalfsen","13","28499","45.6","26 maart 2020"
"67","1891","Dantumadiel","1","18923","5.3","26 maart 2020"
"68","310","De Bilt","34","42824","79.4","26 maart 2020"
"69","1940","De Fryske Marren","12","51430","23.3","26 maart 2020"
"70","736","De Ronde Venen","13","44059","29.5","26 maart 2020"
"71","1690","De Wolden","3","24110","12.4","26 maart 2020"
"72","503","Delft","25","103163","24.2","26 maart 2020"
"73","10","Delfzijl","2","24716","8.1","26 maart 2020"
"74","400","Den Helder","6","55604","10.8","26 maart 2020"
"75","762","Deurne","35","32362","108.2","26 maart 2020"
"76","150","Deventer","30","99957","30","26 maart 2020"
"77","384","Diemen","6","29196","20.6","26 maart 2020"
"78","1774","Dinkelland","25","26350","94.9","26 maart 2020"
"79","221","Doesburg","5","11148","44.9","26 maart 2020"
"80","222","Doetinchem","17","57555","29.5","26 maart 2020"
"81","766","Dongen","6","26051","23","26 maart 2020"
"82","505","Dordrecht","28","118654","23.6","26 maart 2020"
"83","498","Drechterland","4","19597","20.4","26 maart 2020"
"84","1719","Drimmelen","21","27150","77.3","26 maart 2020"
"85","303","Dronten","11","40815","27","26 maart 2020"
"86","225","Druten","7","18797","37.2","26 maart 2020"
"87","226","Duiven","3","25332","11.8","26 maart 2020"
"88","1711","Echt-Susteren","23","31638","72.7","26 maart 2020"
"89","385","Edam-Volendam","10","36099","27.7","26 maart 2020"
"90","228","Ede","33","115710","28.5","26 maart 2020"
"91","317","Eemnes","1","9113","11","26 maart 2020"
"92","770","Eersel","14","19110","73.3","26 maart 2020"
"93","1903","Eijsden-Margraten","26","25658","101.3","26 maart 2020"
"94","772","Eindhoven","93","231642","40.1","26 maart 2020"
"95","230","Elburg","6","23086","26","26 maart 2020"
"96","114","Emmen","8","107113","7.5","26 maart 2020"
"97","388","Enkhuizen","15","18507","81.1","26 maart 2020"
"98","153","Enschede","34","158986","21.4","26 maart 2020"
"99","232","Epe","16","33145","48.3","26 maart 2020"
"100","233","Ermelo","17","26858","63.3","26 maart 2020"
"101","777","Etten-Leur","37","43774","84.5","26 maart 2020"
"102","779","Geertruidenberg","11","21515","51.1","26 maart 2020"
"103","1771","Geldrop-Mierlo","16","39595","40.4","26 maart 2020"
"104","1652","Gemert-Bakel","71","30447","233.2","26 maart 2020"
"105","907","Gennep","8","17071","46.9","26 maart 2020"
"106","784","Gilze en Rijen","19","26431","71.9","26 maart 2020"
"107","1924","Goeree-Overflakkee","56","49611","112.9","26 maart 2020"
"108","664","Goes","7","37653","18.6","26 maart 2020"
"109","785","Goirle","21","23793","88.3","26 maart 2020"
"110","1942","Gooise Meren","20","57715","34.7","26 maart 2020"
"111","512","Gorinchem","9","36682","24.5","26 maart 2020"
"112","513","Gouda","25","73181","34.2","26 maart 2020"
"113","786","Grave","14","12483","112.2","26 maart 2020"
"114","14","Groningen","76","231299","32.9","26 maart 2020"
"115","1729","Gulpen-Wittem","5","14246","35.1","26 maart 2020"
"116","158","Haaksbergen","4","24277","16.5","26 maart 2020"
"117","788","Haaren","14","14195","98.6","26 maart 2020"
"118","392","Haarlem","54","161265","33.5","26 maart 2020"
"119","394","Haarlemmermeer","30","154235","19.5","26 maart 2020"
"120","1655","Halderberge","8","30194","26.5","26 maart 2020"
"121","160","Hardenberg","9","60574","14.9","26 maart 2020"
"122","243","Harderwijk","14","47581","29.4","26 maart 2020"
"123","523","Hardinxveld-Giessendam","6","18051","33.2","26 maart 2020"
"124","72","Harlingen","3","15758","19","26 maart 2020"
"125","244","Hattem","5","12173","41.1","26 maart 2020"
"126","396","Heemskerk","10","39164","25.5","26 maart 2020"
"127","397","Heemstede","21","27286","77","26 maart 2020"
"128","246","Heerde","24","18546","129.4","26 maart 2020"
"129","74","Heerenveen","4","50257","8","26 maart 2020"
"130","398","Heerhugowaard","19","56742","33.5","26 maart 2020"
"131","917","Heerlen","63","86832","72.6","26 maart 2020"
"132","1658","Heeze-Leende","10","15964","62.6","26 maart 2020"
"133","399","Heiloo","10","23464","42.6","26 maart 2020"
"134","163","Hellendoorn","7","35808","19.5","26 maart 2020"
"135","530","Hellevoetsluis","7","40049","17.5","26 maart 2020"
"136","794","Helmond","66","91524","72.1","26 maart 2020"
"137","531","Hendrik-Ido-Ambacht","5","30966","16.1","26 maart 2020"
"138","164","Hengelo (O)","21","80683","26","26 maart 2020"
"139","1966","Het Hogeland","6","47888","12.5","26 maart 2020"
"140","252","Heumen","15","16486","91","26 maart 2020"
"141","797","Heusden","25","44135","56.6","26 maart 2020"
"142","534","Hillegom","3","21966","13.7","26 maart 2020"
"143","798","Hilvarenbeek","10","15334","65.2","26 maart 2020"
"144","402","Hilversum","18","90238","19.9","26 maart 2020"
"145","1963","Hoeksche Waard","43","86656","49.6","26 maart 2020"
"146","1735","Hof van Twente","8","34940","22.9","26 maart 2020"
"147","1911","Hollands Kroon","14","47815","29.3","26 maart 2020"
"148","118","Hoogeveen","7","55662","12.6","26 maart 2020"
"149","405","Hoorn","15","73004","20.5","26 maart 2020"
"150","1507","Horst aan de Maas","20","42291","47.3","26 maart 2020"
"151","321","Houten","43","49911","86.2","26 maart 2020"
"152","406","Huizen","8","41273","19.4","26 maart 2020"
"153","677","Hulst","1","27524","3.6","26 maart 2020"
"154","353","IJsselstein","23","34160","67.3","26 maart 2020"
"155","1884","Kaag en Braassem","5","26866","18.6","26 maart 2020"
"156","166","Kampen","41","53779","76.2","26 maart 2020"
"157","678","Kapelle","2","12785","15.6","26 maart 2020"
"158","537","Katwijk","10","65302","15.3","26 maart 2020"
"159","928","Kerkrade","26","45642","57","26 maart 2020"
"160","1598","Koggenland","6","22738","26.4","26 maart 2020"
"161","542","Krimpen aan den IJssel","7","29376","23.8","26 maart 2020"
"162","1931","Krimpenerwaard","19","56048","33.9","26 maart 2020"
"163","1659","Laarbeek","24","22333","107.5","26 maart 2020"
"164","1685","Landerd","34","15529","218.9","26 maart 2020"
"165","882","Landgraaf","25","37591","66.5","26 maart 2020"
"166","415","Landsmeer","7","11488","60.9","26 maart 2020"
"167","416","Langedijk","13","27992","46.4","26 maart 2020"
"168","1621","Lansingerland","28","61601","45.5","26 maart 2020"
"169","417","Laren","5","11195","44.7","26 maart 2020"
"170","80","Leeuwarden","15","123107","12.2","26 maart 2020"
"171","546","Leiden","28","124899","22.4","26 maart 2020"
"172","547","Leiderdorp","4","27109","14.8","26 maart 2020"
"173","1916","Leidschendam-Voorburg","17","75425","22.5","26 maart 2020"
"174","995","Lelystad","27","77893","34.7","26 maart 2020"
"175","1640","Leudal","32","35681","89.7","26 maart 2020"
"176","327","Leusden","13","30030","43.3","26 maart 2020"
"177","1705","Lingewaard","14","46475","30.1","26 maart 2020"
"178","553","Lisse","2","22800","8.8","26 maart 2020"
"179","262","Lochem","8","33590","23.8","26 maart 2020"
"180","809","Loon op Zand","21","23327","90","26 maart 2020"
"181","331","Lopik","12","14473","82.9","26 maart 2020"
"182","24","Loppersum","1","9614","10.4","26 maart 2020"
"183","168","Losser","1","22622","4.4","26 maart 2020"
"184","263","Maasdriel","5","24693","20.2","26 maart 2020"
"185","1641","Maasgouw","12","23716","50.6","26 maart 2020"
"186","556","Maassluis","8","32768","24.4","26 maart 2020"
"187","935","Maastricht","118","121565","97.1","26 maart 2020"
"188","420","Medemblik","6","44809","13.4","26 maart 2020"
"189","938","Meerssen","8","18923","42.3","26 maart 2020"
"190","1948","Meierijstad","168","80815","207.9","26 maart 2020"
"191","119","Meppel","3","33564","8.9","26 maart 2020"
"192","687","Middelburg","8","48544","16.5","26 maart 2020"
"193","1842","Midden-Delfland","2","19391","10.3","26 maart 2020"
"194","1731","Midden-Drenthe","2","33178","6","26 maart 2020"
"195","1952","Midden-Groningen","5","60899","8.2","26 maart 2020"
"196","815","Mill en Sint Hubert","5","10891","45.9","26 maart 2020"
"197","1709","Moerdijk","5","36961","13.5","26 maart 2020"
"198","1978","Molenlanden","16","43858","36.5","26 maart 2020"
"199","1955","Montferland","4","36026","11.1","26 maart 2020"
"200","335","Montfoort","9","13996","64.3","26 maart 2020"
"201","944","Mook en Middelaar","5","7806","64.1","26 maart 2020"
"202","1740","Neder-Betuwe","13","24034","54.1","26 maart 2020"
"203","946","Nederweert","18","17001","105.9","26 maart 2020"
"204","356","Nieuwegein","15","63036","23.8","26 maart 2020"
"205","569","Nieuwkoop","6","28628","21","26 maart 2020"
"206","267","Nijkerk","12","42943","27.9","26 maart 2020"
"207","268","Nijmegen","122","176731","69","26 maart 2020"
"208","1930","Nissewaard","23","84797","27.1","26 maart 2020"
"209","1970","Noardeast-Fryslân","3","45181","6.6","26 maart 2020"
"210","1695","Noord-Beveland","2","7308","27.4","26 maart 2020"
"211","1699","Noordenveld","3","31290","9.6","26 maart 2020"
"212","171","Noordoostpolder","8","46849","17.1","26 maart 2020"
"213","575","Noordwijk","8","42859","18.7","26 maart 2020"
"214","820","Nuenen, Gerwen en Nederwetten","10","23186","43.1","26 maart 2020"
"215","302","Nunspeet","31","27481","112.8","26 maart 2020"
"216","579","Oegstgeest","9","24426","36.8","26 maart 2020"
"217","823","Oirschot","8","18623","43","26 maart 2020"
"218","824","Oisterwijk","21","26140","80.3","26 maart 2020"
"219","1895","Oldambt","0","38129","0","26 maart 2020"
"220","269","Oldebroek","16","23598","67.8","26 maart 2020"
"221","173","Oldenzaal","15","31840","47.1","26 maart 2020"
"222","1773","Olst-Wijhe","6","18071","33.2","26 maart 2020"
"223","175","Ommen","7","17813","39.3","26 maart 2020"
"224","1586","Oost Gelre","6","29704","20.2","26 maart 2020"
"225","826","Oosterhout","29","55616","52.1","26 maart 2020"
"226","85","Ooststellingwerf","1","25497","3.9","26 maart 2020"
"227","431","Oostzaan","7","9757","71.7","26 maart 2020"
"228","432","Opmeer","2","11779","17","26 maart 2020"
"229","86","Opsterland","5","29723","16.8","26 maart 2020"
"230","828","Oss","100","91451","109.3","26 maart 2020"
"231","1509","Oude IJsselstreek","5","39473","12.7","26 maart 2020"
"232","437","Ouder-Amstel","7","13916","50.3","26 maart 2020"
"233","589","Oudewater","12","10201","117.6","26 maart 2020"
"234","1734","Overbetuwe","44","47543","92.5","26 maart 2020"
"235","590","Papendrecht","6","32290","18.6","26 maart 2020"
"236","1894","Peel en Maas","96","43311","221.7","26 maart 2020"
"237","765","Pekela","2","12214","16.4","26 maart 2020"
"238","1926","Pijnacker-Nootdorp","20","54331","36.8","26 maart 2020"
"239","439","Purmerend","39","80117","48.7","26 maart 2020"
"240","273","Putten","6","24198","24.8","26 maart 2020"
"241","177","Raalte","12","37511","32","26 maart 2020"
