dag;region;case;country
13-3-2020;Berlin;174;DE
13-3-2020;Brandenburg;44;DE
13-3-2020;Bremen;42;DE
13-3-2020;Hamburg;99;DE
13-3-2020;Hessen;148;DE
13-3-2020;Mecklen-Vorpommern;33;DE
13-3-2020;Niedersachsen;230;DE
13-3-2020;Nordrhein-Westfalen;936;DE
13-3-2020;Rheinland-Pfalz;102;DE
13-3-2020;Saarland;40;DE
13-3-2020;Sachsen;83;DE
13-3-2020;Sachsen-Anhalt;42;DE
13-3-2020;Schleswig-Holstein;48;DE
13-3-2020;Thüringen;29;DE
14-3-2020;Baden-Württemberg;569;DE
14-3-2020;Bayern;681;DE
14-3-2020;Berlin;216;DE
14-3-2020;Brandenburg;61;DE
14-3-2020;Bremen;50;DE
14-3-2020;Hamburg;158;DE
14-3-2020;Hessen;203;DE
14-3-2020;Mecklen-Vorpommern;45;DE
14-3-2020;Niedersachsen;253;DE
14-3-2020;Nordrhein-Westfalen;1154;DE
14-3-2020;Rheinland-Pfalz;121;DE
14-3-2020;Saarland;40;DE
14-3-2020;Sachsen;93;DE
14-3-2020;Sachsen-Anhalt;45;DE
14-3-2020;Schleswig-Holstein;60;DE
14-3-2020;Thüringen;46;DE
15-3-2020;Baden-Württemberg;827;DE
15-3-2020;Bayern;886;DE
15-3-2020;Berlin;265;DE
15-3-2020;Brandenburg;84;DE
15-3-2020;Bremen;53;DE
15-3-2020;Hamburg;162;DE
15-3-2020;Hessen;286;DE
15-3-2020;Mecklen-Vorpommern;50;DE
15-3-2020;Niedersachsen;287;DE
15-3-2020;Nordrhein-Westfalen;1407;DE
15-3-2020;Rheinland-Pfalz;168;DE
15-3-2020;Saarland;32;DE
15-3-2020;Sachsen;130;DE
15-3-2020;Sachsen-Anhalt;47;DE
15-3-2020;Schleswig-Holstein;103;DE
15-3-2020;Thüringen;51;DE
16-3-2020;Baden-Württemberg;1105;DE
16-3-2020;Bayern;1067;DE
16-3-2020;Berlin;300;DE
16-3-2020;Brandenburg;94;DE
16-3-2020;Bremen;56;DE
16-3-2020;Hamburg;260;DE
16-3-2020;Hessen;342;DE
16-3-2020;Mecklen-Vorpommern;51;DE
16-3-2020;Niedersachsen;391;DE
16-3-2020;Nordrhein-Westfalen;1541;DE
16-3-2020;Rheinland-Pfalz;325;DE
16-3-2020;Saarland;85;DE
16-3-2020;Sachsen;140;DE
16-3-2020;Sachsen-Anhalt;77;DE
16-3-2020;Schleswig-Holstein;123;DE
16-3-2020;Thüringen;55;DE
17-3-2020;Baden-Württemberg;1479;DE
17-3-2020;Bayern;1109;DE
17-3-2020;Berlin;345;DE
17-3-2020;Brandenburg;73;DE
17-3-2020;Bremen;57;DE
17-3-2020;Hamburg;310;DE
17-3-2020;Hessen;373;DE
17-3-2020;Mecklen-Vorpommern;45;DE
17-3-2020;Niedersachsen;325;DE
17-3-2020;Nordrhein-Westfalen;2105;DE
17-3-2020;Rheinland-Pfalz;442;DE
17-3-2020;Saarland;75;DE
17-3-2020;Sachsen;182;DE
17-3-2020;Sachsen-Anhalt;58;DE
17-3-2020;Schleswig-Holstein;127;DE
17-3-2020;Thüringen;51;DE
18-3-2020;Baden-Württemberg;1609;DE
18-3-2020;Bayern;1243;DE
18-3-2020;Berlin;391;DE
18-3-2020;Brandenburg;92;DE
18-3-2020;Bremen;69;DE
18-3-2020;Hamburg;358;DE
18-3-2020;Hessen;432;DE
18-3-2020;Mecklen-Vorpommern;56;DE
18-3-2020;Niedersachsen;478;DE
18-3-2020;Nordrhein-Westfalen;2372;DE
18-3-2020;Rheinland-Pfalz;474;DE
18-3-2020;Saarland;88;DE
18-3-2020;Sachsen;198;DE
18-3-2020;Sachsen-Anhalt;105;DE
18-3-2020;Schleswig-Holstein;159;DE
18-3-2020;Thüringen;74;DE
19-3-2020;Baden-Württemberg;2155;DE
19-3-2020;Bayern;1692;DE
19-3-2020;Berlin;573;DE
19-3-2020;Brandenburg;134;DE
19-3-2020;Bremen;80;DE
19-3-2020;Hamburg;432;DE
19-3-2020;Hessen;682;DE
19-3-2020;Mecklen-Vorpommern;98;DE
19-3-2020;Niedersachsen;669;DE
19-3-2020;Nordrhein-Westfalen;3033;DE
19-3-2020;Rheinland-Pfalz;637;DE
19-3-2020;Saarland;99;DE
19-3-2020;Sachsen;275;DE
19-3-2020;Sachsen-Anhalt;140;DE
19-3-2020;Schleswig-Holstein;202;DE
19-3-2020;Thüringen;98;DE
20-3-2020;Baden-Württemberg;2746;DE
20-3-2020;Bayern;2401;DE
20-3-2020;Berlin;731;DE
20-3-2020;Brandenburg;192;DE
20-3-2020;Bremen;121;DE
20-3-2020;Hamburg;586;DE
20-3-2020;Hessen;813;DE
20-3-2020;Mecklen-Vorpommern;131;DE
20-3-2020;Niedersachsen;803;DE
20-3-2020;Nordrhein-Westfalen;3947;DE
20-3-2020;Rheinland-Pfalz;801;DE
20-3-2020;Saarland;146;DE
20-3-2020;Sachsen;394;DE
20-3-2020;Sachsen-Anhalt;180;DE
20-3-2020;Schleswig-Holstein;266;DE
20-3-2020;Thüringen;149;DE
