"","montant","municipalite","numero","habitants","montantparhabitant","date"
"108","664","Goes","3","37653","8","19 maart 2020"
"109","785","Goirle","11","23793","46.2","19 maart 2020"
"110","1942","Gooise Meren","10","57715","17.3","19 maart 2020"
"111","512","Gorinchem","1","36682","2.7","19 maart 2020"
"112","513","Gouda","9","73181","12.3","19 maart 2020"
"113","786","Grave","2","12483","16","19 maart 2020"
"114","14","Groningen","23","231299","9.9","19 maart 2020"
"115","1729","Gulpen-Wittem","2","14246","14","19 maart 2020"
"116","158","Haaksbergen","1","24277","4.1","19 maart 2020"
"117","788","Haaren","9","14195","63.4","19 maart 2020"
"118","392","Haarlem","10","161265","6.2","19 maart 2020"
"119","394","Haarlemmermeer","5","154235","3.2","19 maart 2020"
"120","1655","Halderberge","2","30194","6.6","19 maart 2020"
"121","160","Hardenberg","0","60574","0","19 maart 2020"
"122","243","Harderwijk","5","47581","10.5","19 maart 2020"
"123","523","Hardinxveld-Giessendam","5","18051","27.7","19 maart 2020"
"124","72","Harlingen","1","15758","6.3","19 maart 2020"
"125","244","Hattem","0","12173","0","19 maart 2020"
"126","396","Heemskerk","3","39164","7.7","19 maart 2020"
"127","397","Heemstede","5","27286","18.3","19 maart 2020"
"128","246","Heerde","4","18546","21.6","19 maart 2020"
"129","74","Heerenveen","0","50257","0","19 maart 2020"
"130","398","Heerhugowaard","2","56742","3.5","19 maart 2020"
"131","917","Heerlen","15","86832","17.3","19 maart 2020"
"132","1658","Heeze-Leende","4","15964","25.1","19 maart 2020"
"133","399","Heiloo","3","23464","12.8","19 maart 2020"
"134","163","Hellendoorn","2","35808","5.6","19 maart 2020"
"135","530","Hellevoetsluis","1","40049","2.5","19 maart 2020"
"136","794","Helmond","22","91524","24","19 maart 2020"
"137","531","Hendrik-Ido-Ambacht","0","30966","0","19 maart 2020"
"138","164","Hengelo (O)","4","80683","5","19 maart 2020"
"139","1966","Het Hogeland","0","47888","0","19 maart 2020"
"140","252","Heumen","6","16486","36.4","19 maart 2020"
"141","797","Heusden","6","44135","13.6","19 maart 2020"
"142","534","Hillegom","1","21966","4.6","19 maart 2020"
"143","798","Hilvarenbeek","4","15334","26.1","19 maart 2020"
"144","402","Hilversum","3","90238","3.3","19 maart 2020"
"145","1963","Hoeksche Waard","12","86656","13.8","19 maart 2020"
"146","1735","Hof van Twente","3","34940","8.6","19 maart 2020"
"147","1911","Hollands Kroon","3","47815","6.3","19 maart 2020"
"148","118","Hoogeveen","3","55662","5.4","19 maart 2020"
"149","405","Hoorn","2","73004","2.7","19 maart 2020"
"150","1507","Horst aan de Maas","10","42291","23.6","19 maart 2020"
"151","321","Houten","17","49911","34.1","19 maart 2020"
"152","406","Huizen","3","41273","7.3","19 maart 2020"
"153","677","Hulst","0","27524","0","19 maart 2020"
"154","353","IJsselstein","8","34160","23.4","19 maart 2020"
"155","1884","Kaag en Braassem","1","26866","3.7","19 maart 2020"
"156","166","Kampen","2","53779","3.7","19 maart 2020"
"157","678","Kapelle","2","12785","15.6","19 maart 2020"
"158","537","Katwijk","2","65302","3.1","19 maart 2020"
"159","928","Kerkrade","3","45642","6.6","19 maart 2020"
"160","1598","Koggenland","1","22738","4.4","19 maart 2020"
"161","542","Krimpen aan den IJssel","2","29376","6.8","19 maart 2020"
"162","1931","Krimpenerwaard","5","56048","8.9","19 maart 2020"
"163","1659","Laarbeek","4","22333","17.9","19 maart 2020"
"164","1685","Landerd","18","15529","115.9","19 maart 2020"
"165","882","Landgraaf","7","37591","18.6","19 maart 2020"
"166","415","Landsmeer","3","11488","26.1","19 maart 2020"
"167","416","Langedijk","4","27992","14.3","19 maart 2020"
"168","1621","Lansingerland","13","61601","21.1","19 maart 2020"
"169","417","Laren","0","11195","0","19 maart 2020"
"170","80","Leeuwarden","5","123107","4.1","19 maart 2020"
"171","546","Leiden","12","124899","9.6","19 maart 2020"
"172","547","Leiderdorp","2","27109","7.4","19 maart 2020"
"173","1916","Leidschendam-Voorburg","6","75425","8","19 maart 2020"
