Date,Open,High,Low,Close,Adj Close,Volume
2019-12-24,3982.139893,3995.800049,3979.050049,3992.129883,3992.129883,2872300
2019-12-27,3994.649902,4012.520020,3990.969971,3996.350098,3996.350098,10713800
2019-12-30,3993.699951,3995.239990,3967.179932,3967.179932,3967.179932,9109600
2019-12-31,3964.000000,3966.189941,3955.830078,3955.830078,3955.830078,4096200
2020-01-02,3982.560059,4021.770020,3982.560059,4015.929932,4015.929932,20110600
2020-01-03,4002.169922,4008.139893,3976.679932,3994.610107,3994.610107,16478900
2020-01-06,3960.570068,3973.870117,3918.729980,3971.780029,3971.780029,16619800
2020-01-07,3981.860107,4013.479980,3976.320068,3984.729980,3984.729980,15120600
2020-01-08,3965.679932,3989.959961,3947.479980,3980.689941,3980.689941,19107300
2020-01-09,4018.959961,4034.080078,4007.530029,4013.979980,4013.979980,23648300
2020-01-10,4025.000000,4025.000000,4008.989990,4009.879883,4009.879883,14829000
2020-01-13,4026.229980,4033.139893,3973.100098,3984.580078,3984.580078,17652400
2020-01-14,3984.639893,3990.629883,3948.250000,3990.629883,3990.629883,17189200
2020-01-15,3985.810059,3988.219971,3963.489990,3970.719971,3970.719971,21099000
2020-01-16,3978.419922,3990.739990,3964.850098,3987.780029,3987.780029,16768100
2020-01-17,3997.189941,4014.810059,3992.850098,4007.199951,4007.199951,19252600
2020-01-20,4010.310059,4013.110107,3991.229980,4012.669922,4012.669922,10964500
2020-01-21,3996.870117,4018.850098,3984.899902,4018.850098,4018.850098,16140100
2020-01-22,4024.419922,4029.669922,4003.649902,4015.709961,4015.709961,18132400
2020-01-23,4007.050049,4019.040039,3971.199951,3978.300049,3978.300049,23143800
2020-01-24,4000.290039,4035.929932,4000.290039,4002.840088,4002.840088,19716100
2020-01-27,3945.709961,3950.159912,3899.679932,3903.500000,3903.500000,26144100
2020-01-28,3918.580078,3962.010010,3898.399902,3956.110107,3956.110107,21420300
2020-01-29,3957.250000,3981.770020,3954.550049,3965.010010,3965.010010,18297200
2020-01-30,3932.199951,3950.060059,3916.149902,3927.860107,3927.860107,20249900
2020-01-31,3938.800049,3952.530029,3901.580078,3907.610107,3907.610107,26161100
2020-02-03,3910.040039,3947.780029,3906.050049,3929.270020,3929.270020,16613200
2020-02-04,3954.699951,4043.560059,3954.429932,4039.919922,4039.919922,24232200
2020-02-05,4043.760010,4126.689941,4043.760010,4103.040039,4103.040039,25568400
2020-02-06,4113.859863,4146.100098,4113.859863,4140.229980,4140.229980,32253800
2020-02-07,4124.899902,4126.330078,4072.250000,4095.199951,4095.199951,23275800
2020-02-10,4083.550049,4102.790039,4076.209961,4101.799805,4101.799805,17575900
2020-02-11,4121.669922,4156.799805,4121.669922,4152.299805,4152.299805,24985200
2020-02-12,4150.089844,4184.270020,4146.609863,4184.270020,4184.270020,25175000
2020-02-13,4172.740234,4182.779785,4126.959961,4182.779785,4182.779785,22581400
2020-02-14,4185.330078,4198.049805,4180.589844,4185.439941,4185.439941,15512700
2020-02-17,4188.819824,4201.350098,4188.080078,4198.310059,4198.310059,10724900
2020-02-18,4173.120117,4184.950195,4147.779785,4164.500000,4164.500000,22911900
2020-02-19,4158.609863,4162.939941,4134.580078,4139.259766,4139.259766,45429100
2020-02-20,4143.180176,4165.000000,4119.040039,4119.040039,4119.040039,34271400
2020-02-21,4095.409912,4101.270020,4063.139893,4078.439941,4078.439941,31742600
2020-02-24,3982.010010,3987.429932,3896.169922,3917.639893,3917.639893,41660000
2020-02-25,3926.840088,3946.879883,3828.399902,3828.399902,3828.399902,39070600
2020-02-26,3789.830078,3841.189941,3686.719971,3830.340088,3830.340088,44544900
2020-02-27,3732.550049,3747.360107,3603.350098,3639.510010,3639.510010,52578400
2020-02-28,3534.899902,3550.840088,3439.899902,3488.600098,3488.600098,73758200
2020-03-02,3562.520020,3605.649902,3452.989990,3523.239990,3523.239990,56337300
2020-03-03,3611.080078,3649.139893,3568.780029,3575.129883,3575.129883,50998900
2020-03-04,3578.040039,3635.229980,3559.060059,3597.979980,3597.979980,56259100
2020-03-05,3641.620117,3641.620117,3519.310059,3544.830078,3544.830078,53829800
2020-03-06,3477.850098,3491.500000,3394.449951,3435.090088,3435.090088,53506000
2020-03-09,null,null,null,null,null,null
2020-03-10,3217.770020,3344.800049,3138.750000,3155.600098,3155.600098,0
2020-03-11,3210.699951,3264.699951,3130.020020,3148.409912,3148.409912,0
2020-03-12,3020.110107,3030.350098,2697.939941,2701.000000,2701.000000,0
2020-03-13,2795.699951,2950.360107,2701.780029,2728.929932,2728.929932,0
2020-03-16,2622.500000,2622.810059,2406.750000,2535.580078,2535.580078,88588700
2020-03-17,2635.010010,2639.159912,2426.719971,2528.770020,2528.770020,82117200
2020-03-18,2517.100098,2597.899902,2511.500000,2576.209961,2576.209961,66126900
2020-03-19,2631.189941,2720.439941,2565.419922,2636.020020,2636.020020,70940500
2020-03-20,2761.120117,2856.229980,2735.939941,2771.489990,2771.489990,118509800
