Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,3760.129883,3798.879883,3755.229980,3784.040039,3784.040039,23141200
2019-10-22,3789.100098,3793.739990,3760.800049,3768.479980,3768.479980,17837800
2019-10-23,3757.100098,3769.020020,3744.979980,3760.280029,3760.280029,19704900
2019-10-24,3769.810059,3797.550049,3766.060059,3791.659912,3791.659912,19227800
2019-10-25,3791.639893,3791.639893,3720.620117,3752.350098,3752.350098,21115700
2019-10-28,3750.129883,3773.090088,3746.959961,3770.840088,3770.840088,17914300
2019-10-29,3766.580078,3767.439941,3747.050049,3763.929932,3763.929932,17362600
2019-10-30,3763.739990,3776.300049,3740.179932,3767.320068,3767.320068,21167400
2019-10-31,3769.610107,3777.929932,3732.159912,3763.250000,3763.250000,27037300
2019-11-01,3771.060059,3797.290039,3766.830078,3794.800049,3794.800049,19462900
2019-11-04,3810.340088,3838.350098,3810.340088,3829.199951,3829.199951,26784300
2019-11-05,3841.060059,3859.520020,3832.520020,3851.870117,3851.870117,22684800
2019-11-06,3857.719971,3873.760010,3849.989990,3859.709961,3859.709961,26984300
2019-11-07,3870.020020,3880.419922,3861.729980,3878.139893,3878.139893,29091000
2019-11-08,3862.300049,3908.020020,3851.399902,3876.939941,3876.939941,30418700
2019-11-11,3872.189941,3883.500000,3855.010010,3868.270020,3868.270020,15580700
2019-11-12,3880.469971,3903.340088,3873.110107,3898.479980,3898.479980,17991000
2019-11-13,3879.739990,3880.989990,3853.239990,3878.370117,3878.370117,24538000
2019-11-14,3880.409912,3892.909912,3866.860107,3870.270020,3870.270020,18955100
2019-11-15,3884.159912,3894.679932,3860.139893,3894.250000,3894.250000,17606500
2019-11-18,3903.169922,3920.030029,3887.709961,3905.520020,3905.520020,17328900
2019-11-19,3909.169922,3920.189941,3890.840088,3897.439941,3897.439941,15327600
2019-11-20,3887.300049,3899.969971,3861.729980,3896.189941,3896.189941,19392500
2019-11-21,3871.040039,3878.189941,3842.280029,3873.929932,3873.929932,18116800
2019-11-22,3873.239990,3897.689941,3871.969971,3878.929932,3878.929932,20540700
2019-11-25,3891.219971,3906.719971,3890.600098,3902.929932,3902.929932,13096300
2019-11-26,3901.810059,3909.909912,3878.770020,3904.310059,3904.310059,24773200
2019-11-27,3914.080078,3914.719971,3897.830078,3912.379883,3912.379883,15546300
2019-11-28,3901.469971,3915.709961,3895.290039,3914.860107,3914.860107,11196400
2019-11-29,3897.659912,3925.780029,3893.270020,3906.679932,3906.679932,16326800
2019-12-02,3911.959961,3938.350098,3861.669922,3864.110107,3864.110107,24835200
2019-12-03,3874.080078,3892.489990,3830.060059,3841.330078,3841.330078,22691100
2019-12-04,3835.709961,3890.830078,3835.580078,3889.409912,3889.409912,18123700
2019-12-05,3898.000000,3922.649902,3884.750000,3887.139893,3887.139893,14362300
2019-12-06,3906.679932,3937.689941,3899.810059,3929.050049,3929.050049,16992100
2019-12-09,3928.010010,3947.620117,3925.429932,3942.510010,3942.510010,12899900
2019-12-10,3940.629883,3941.100098,3896.570068,3927.629883,3927.629883,15713800
2019-12-11,3923.389893,3934.550049,3907.719971,3920.850098,3920.850098,13706900
2019-12-12,3925.020020,3946.629883,3894.709961,3931.649902,3931.649902,24514400
2019-12-13,3968.409912,3981.689941,3932.520020,3936.100098,3936.100098,28955200
2019-12-16,3953.879883,3982.649902,3952.610107,3977.889893,3977.889893,17590300
2019-12-17,3970.469971,3976.030029,3949.419922,3963.810059,3963.810059,20484700
2019-12-18,3956.969971,3974.110107,3953.429932,3967.679932,3967.679932,17616900
2019-12-19,3965.530029,3985.290039,3961.669922,3985.290039,3985.290039,16788900
2019-12-20,3986.899902,4002.260010,3980.090088,3992.929932,3992.929932,41108700
2019-12-23,3983.560059,3992.909912,3974.830078,3989.610107,3989.610107,11662100
