Cases/10000Habitants,Cases,Municipality,Gemnr,Habitants,Number of Records,Date
0,0,Hattem,244,12173,1,04/03/2020
0,0,Heemskerk,396,39164,1,04/03/2020
0,0,Heemstede,397,27286,1,04/03/2020
0,0,Heerde,246,18546,1,04/03/2020
0,0,Heerenveen,74,50257,1,04/03/2020
0,0,Heerhugowaard,398,56742,1,04/03/2020
0,0,Heerlen,917,86832,1,04/03/2020
0,0,Heeze-Leende,"1,658",15964,1,04/03/2020
0,0,Heiloo,399,23464,1,04/03/2020
0,0,Hellendoorn,163,35808,1,04/03/2020
0,0,Hellevoetsluis,530,40049,1,04/03/2020
"0,437043835",4,Helmond,794,91524,1,04/03/2020
0,0,Hendrik-Ido-Ambacht,531,30966,1,04/03/2020
0,0,Hengelo (O),164,80683,1,04/03/2020
0,0,Het Hogeland,"1,966",47888,1,04/03/2020
0,0,Heumen,252,16486,1,04/03/2020
0,0,Heusden,797,44135,1,04/03/2020
0,0,Hillegom,534,21966,1,04/03/2020
0,0,Hilvarenbeek,798,15334,1,04/03/2020
0,0,Hilversum,402,90238,1,04/03/2020
"0,115398818",1,Hoeksche Waard,"1,963",86656,1,04/03/2020
0,0,Hof van Twente,"1,735",34940,1,04/03/2020
0,0,Hollands Kroon,"1,911",47815,1,04/03/2020
0,0,Hoogeveen,118,55662,1,04/03/2020
0,0,Hoorn,405,73004,1,04/03/2020
0,0,Horst aan de Maas,"1,507",42291,1,04/03/2020
"0,200356635",1,Houten,321,49911,1,04/03/2020
0,0,Huizen,406,41273,1,04/03/2020
0,0,Hulst,677,27524,1,04/03/2020
0,0,IJsselstein,353,34160,1,04/03/2020
0,0,Kaag en Braassem,"1,884",26866,1,04/03/2020
0,0,Kampen,166,53779,1,04/03/2020
0,0,Kapelle,678,12785,1,04/03/2020
0,0,Katwijk,537,65302,1,04/03/2020
0,0,Kerkrade,928,45642,1,04/03/2020
0,0,Koggenland,"1,598",22738,1,04/03/2020
0,0,Krimpen aan den IJssel,542,29376,1,04/03/2020
0,0,Krimpenerwaard,"1,931",56048,1,04/03/2020
0,0,Laarbeek,"1,659",22333,1,04/03/2020
0,0,Landerd,"1,685",15529,1,04/03/2020
0,0,Landgraaf,882,37591,1,04/03/2020
0,0,Landsmeer,415,11488,1,04/03/2020
0,0,Langedijk,416,27992,1,04/03/2020
0,0,Lansingerland,"1,621",61601,1,04/03/2020
0,0,Laren,417,11195,1,04/03/2020
0,0,Leeuwarden,80,123107,1,04/03/2020
0,0,Leiden,546,124899,1,04/03/2020
0,0,Leiderdorp,547,27109,1,04/03/2020
0,0,Leidschendam-Voorburg,"1,916",75425,1,04/03/2020
0,0,Lelystad,995,77893,1,04/03/2020
0,0,Leudal,"1,64",35681,1,04/03/2020
0,0,Leusden,327,30030,1,04/03/2020
0,0,Lingewaard,"1,705",46475,1,04/03/2020
0,0,Lisse,553,22800,1,04/03/2020
0,0,Lochem,262,33590,1,04/03/2020
"2,143438933",5,Loon op Zand,809,23327,1,04/03/2020
0,0,Lopik,331,14473,1,04/03/2020
0,0,Loppersum,24,9614,1,04/03/2020
0,0,Losser,168,22622,1,04/03/2020
0,0,Maasdriel,263,24693,1,04/03/2020
0,0,Maasgouw,"1,641",23716,1,04/03/2020
0,0,Maassluis,556,32768,1,04/03/2020
0,0,Maastricht,935,121565,1,04/03/2020
0,0,Medemblik,420,44809,1,04/03/2020
0,0,Meerssen,938,18923,1,04/03/2020
0,0,Meierijstad,"1,948",80815,1,04/03/2020
0,0,Meppel,119,33564,1,04/03/2020
0,0,Middelburg,687,48544,1,04/03/2020
0,0,Midden-Delfland,"1,842",19391,1,04/03/2020
0,0,Midden-Drenthe,"1,731",33178,1,04/03/2020
0,0,Midden-Groningen,"1,952",60899,1,04/03/2020
0,0,Mill en Sint Hubert,815,10891,1,04/03/2020
0,0,Moerdijk,"1,709",36961,1,04/03/2020
0,0,Molenlanden,"1,978",43858,1,04/03/2020
0,0,Montferland,"1,955",36026,1,04/03/2020
0,0,Montfoort,335,13996,1,04/03/2020
0,0,Mook en Middelaar,944,7806,1,04/03/2020
0,0,Neder-Betuwe,"1,74",24034,1,04/03/2020
0,0,Nederweert,946,17001,1,04/03/2020
0,0,Nieuwegein,356,63036,1,04/03/2020
0,0,Nieuwkoop,569,28628,1,04/03/2020
0,0,Nijkerk,267,42943,1,04/03/2020
0,0,Nijmegen,268,176731,1,04/03/2020
0,0,Nissewaard,"1,93",84797,1,04/03/2020
0,0,Noardeast-Fryslân,"1,97",45181,1,04/03/2020
0,0,Noord-Beveland,"1,695",7308,1,04/03/2020
0,0,Noordenveld,"1,699",31290,1,04/03/2020
0,0,Noordoostpolder,171,46849,1,04/03/2020
0,0,Noordwijk,575,42859,1,04/03/2020
0,0,"Nuenen, Gerwen en Nederwetten",820,23186,1,04/03/2020
0,0,Nunspeet,302,27481,1,04/03/2020
0,0,Oegstgeest,579,24426,1,04/03/2020
0,0,Oirschot,823,18623,1,04/03/2020
0,0,Oisterwijk,824,26140,1,04/03/2020
0,0,Oldambt,"1,895",38129,1,04/03/2020
0,0,Oldebroek,269,23598,1,04/03/2020
0,0,Oldenzaal,173,31840,1,04/03/2020
0,0,Olst-Wijhe,"1,773",18071,1,04/03/2020
0,0,Ommen,175,17813,1,04/03/2020
0,0,Oost Gelre,"1,586",29704,1,04/03/2020
0,0,Oosterhout,826,55616,1,04/03/2020
0,0,Ooststellingwerf,85,25497,1,04/03/2020
0,0,Oostzaan,431,9757,1,04/03/2020
0,0,Opmeer,432,11779,1,04/03/2020
0,0,Opsterland,86,29723,1,04/03/2020
"0,109348176",1,Oss,828,91451,1,04/03/2020
0,0,Oude IJsselstreek,"1,509",39473,1,04/03/2020
0,0,Ouder-Amstel,437,13916,1,04/03/2020
0,0,Oudewater,589,10201,1,04/03/2020
0,0,Overbetuwe,"1,734",47543,1,04/03/2020
0,0,Papendrecht,590,32290,1,04/03/2020
0,0,Peel en Maas,"1,894",43311,1,04/03/2020
0,0,Pekela,765,12214,1,04/03/2020
0,0,Pijnacker-Nootdorp,"1,926",54331,1,04/03/2020
0,0,Purmerend,439,80117,1,04/03/2020
0,0,Putten,273,24198,1,04/03/2020
0,0,Raalte,177,37511,1,04/03/2020
0,0,Reimerswaal,703,22678,1,04/03/2020
0,0,Renkum,274,31302,1,04/03/2020
0,0,Renswoude,339,5259,1,04/03/2020
0,0,Reusel-De Mierden,"1,667",13060,1,04/03/2020
0,0,Rheden,275,43640,1,04/03/2020
0,0,Rhenen,340,20004,1,04/03/2020
0,0,Ridderkerk,597,46241,1,04/03/2020
0,0,Rijssen-Holten,"1,742",38300,1,04/03/2020
0,0,Rijswijk,603,53467,1,04/03/2020
0,0,Roerdalen,"1,669",20615,1,04/03/2020
0,0,Roermond,957,58209,1,04/03/2020
0,0,Roosendaal,"1,674",77032,1,04/03/2020
"0,046539191",3,Rotterdam,599,644618,1,04/03/2020
0,0,Rozendaal,277,1654,1,04/03/2020
0,0,Rucphen,840,22572,1,04/03/2020
0,0,Schagen,441,46553,1,04/03/2020
0,0,Scherpenzeel,279,9873,1,04/03/2020
0,0,Schiedam,606,77999,1,04/03/2020
0,0,Schiermonnikoog,88,936,1,04/03/2020
0,0,Schouwen-Duiveland,"1,676",33779,1,04/03/2020
0,0,'s-Gravenhage,518,537833,1,04/03/2020
0,0,'s-Hertogenbosch,796,154205,1,04/03/2020
0,0,Simpelveld,965,10516,1,04/03/2020
0,0,Sint Anthonis,"1,702",11606,1,04/03/2020
0,0,Sint-Michielsgestel,845,28991,1,04/03/2020
0,0,Sittard-Geleen,"1,883",92661,1,04/03/2020
0,0,Sliedrecht,610,25026,1,04/03/2020
0,0,Sluis,"1,714",23386,1,04/03/2020
0,0,Smallingerland,90,55938,1,04/03/2020
0,0,Soest,342,46194,1,04/03/2020
0,0,Someren,847,19322,1,04/03/2020
0,0,Son en Breugel,848,16904,1,04/03/2020
0,0,Stadskanaal,37,31789,1,04/03/2020
0,0,Staphorst,180,17003,1,04/03/2020
0,0,Stede Broec,532,21706,1,04/03/2020
0,0,Steenbergen,851,25054,1,04/03/2020
0,0,Steenwijkerland,"1,708",43940,1,04/03/2020
0,0,Stein,971,24961,1,04/03/2020
0,0,Stichtse Vecht,"1,904",64336,1,04/03/2020
0,0,Noardeast-Fryslân,"1,97",45181,1,05/03/2020
0,0,Terneuzen,715,54589,1,04/03/2020
0,0,Terschelling,93,4890,1,04/03/2020
0,0,Texel,448,13547,1,04/03/2020
0,0,Teylingen,"1,525",37061,1,04/03/2020
0,0,Tholen,716,25780,1,04/03/2020
0,0,Tiel,281,41978,1,04/03/2020
"0,138084038",3,Tilburg,855,217259,1,04/03/2020
0,0,Tubbergen,183,21276,1,04/03/2020
0,0,Twenterand,"1,7",33792,1,04/03/2020
0,0,Tynaarlo,"1,73",33698,1,04/03/2020
0,0,Tytsjerksteradiel,737,31780,1,04/03/2020
0,0,Uden,856,41782,1,04/03/2020
0,0,Uitgeest,450,13528,1,04/03/2020
0,0,Uithoorn,451,29424,1,04/03/2020
0,0,Urk,184,20776,1,04/03/2020
"0,056678739",2,Utrecht,344,352866,1,04/03/2020
0,0,Utrechtse Heuvelrug,"1,581",49515,1,04/03/2020
0,0,Vaals,981,10092,1,04/03/2020
0,0,Valkenburg aan de Geul,994,16470,1,04/03/2020
0,0,Valkenswaard,858,30910,1,04/03/2020
0,0,Veendam,47,27491,1,04/03/2020
0,0,Veenendaal,345,65589,1,04/03/2020
0,0,Veere,717,21835,1,04/03/2020
