"","NUTS_ID","montant","Date"
"1","DE1",5348,2020-03-24
"2","DE2",5754,2020-03-24
"3","DE3",1220,2020-03-24
"4","DE4",343,2020-03-24
"5","DE5",183,2020-03-24
"6","DE6",1043,2020-03-24
"7","DE7",1620,2020-03-24
"8","DE8",199,2020-03-24
"9","DE9",1764,2020-03-24
"10","DEA",6318,2020-03-24
"11","DEB",1370,2020-03-24
"12","DEC",337,2020-03-24
"13","DED",811,2020-03-24
"14","DEE",321,2020-03-24
"15","DEF",478,2020-03-24
"16","DEG",327,2020-03-24
