"","NUTS_ID","montant","Date"
"1","DE1",7283,2020-03-26
"2","DE2",7993,2020-03-26
"3","DE3",1656,2020-03-26
"4","DE4",477,2020-03-26
"5","DE5",211,2020-03-26
"6","DE6",1265,2020-03-26
"7","DE7",2157,2020-03-26
"8","DE8",244,2020-03-26
"9","DE9",2347,2020-03-26
"10","DEA",7924,2020-03-26
"11","DEB",1816,2020-03-26
"12","DEC",433,2020-03-26
"13","DED",1141,2020-03-26
"14","DEE",418,2020-03-26
"15","DEF",675,2020-03-26
"16","DEG",468,2020-03-26
