"","numero","municipalite","montant","habitants","montantparhabitant","Date"
"1","518","'s-Gravenhage","63","537833","11.7","24 maart 2020"
"2","796","'s-Hertogenbosch","67","154205","43.4","24 maart 2020"
"3","1680","Aa en Hunze","1","25386","3.9","24 maart 2020"
"4","358","Aalsmeer","9","31728","28.4","24 maart 2020"
"5","197","Aalten","1","27011","3.7","24 maart 2020"
"6","59","Achtkarspelen","0","27852","0","24 maart 2020"
"7","482","Alblasserdam","4","20069","19.9","24 maart 2020"
"8","613","Albrandswaard","18","25271","71.2","24 maart 2020"
"9","361","Alkmaar","20","108558","18.4","24 maart 2020"
"10","141","Almelo","8","72849","11","24 maart 2020"
"11","34","Almere","21","207904","10.1","24 maart 2020"
"12","484","Alphen aan den Rijn","20","110986","18","24 maart 2020"
"13","1723","Alphen-Chaam","15","10149","147.8","24 maart 2020"
"14","1959","Altena","28","55386","50.6","24 maart 2020"
"15","60","Ameland","0","3673","0","24 maart 2020"
"16","307","Amersfoort","44","156286","28.2","24 maart 2020"
"17","362","Amstelveen","33","90838","36.3","24 maart 2020"
"18","363","Amsterdam","250","862965","29","24 maart 2020"
"19","200","Apeldoorn","29","162445","17.9","24 maart 2020"
"20","3","Appingedam","0","11721","0","24 maart 2020"
"21","202","Arnhem","23","159265","14.4","24 maart 2020"
"22","106","Assen","5","67963","7.4","24 maart 2020"
"23","743","Asten","6","16710","35.9","24 maart 2020"
"24","744","Baarle-Nassau","1","6847","14.6","24 maart 2020"
"25","308","Baarn","2","24767","8.1","24 maart 2020"
"26","489","Barendrecht","15","48673","30.8","24 maart 2020"
"27","203","Barneveld","12","57971","20.7","24 maart 2020"
"28","888","Beek","9","15929","56.5","24 maart 2020"
"29","1954","Beekdaelen","29","35727","81.2","24 maart 2020"
"30","370","Beemster","1","9748","10.3","24 maart 2020"
"31","889","Beesel","6","13519","44.4","24 maart 2020"
"32","1945","Berg en Dal","35","34798","100.6","24 maart 2020"
"33","1724","Bergeijk","5","18491","27","24 maart 2020"
"34","893","Bergen (L)","1","13140","7.6","24 maart 2020"
"35","373","Bergen (NH)","12","29974","40","24 maart 2020"
"36","748","Bergen op Zoom","12","66811","18","24 maart 2020"
"37","1859","Berkelland","2","43904","4.6","24 maart 2020"
"38","1721","Bernheze","67","30806","217.5","24 maart 2020"
"39","753","Best","17","29821","57","24 maart 2020"
"40","209","Beuningen","13","25882","50.2","24 maart 2020"
"41","375","Beverwijk","11","41176","26.7","24 maart 2020"
"42","1728","Bladel","14","20175","69.4","24 maart 2020"
"43","376","Blaricum","4","11202","35.7","24 maart 2020"
"44","377","Bloemendaal","13","23410","55.5","24 maart 2020"
